ID,Item Type,Max Stack,Item Name
2000108,Important/ImportantItemStandard,1,Nailcasting Training
2000109,Important/ImportantItemStandard,1,Smelting Training
2000110,Important/ImportantItemStandard,1,Cobbling Training
2000111,Important/ImportantItemStandard,1,Tawing Training
2000112,Important/ImportantItemStandard,1,Tanning Training
2000113,Important/ImportantItemStandard,1,Gemcutting Training
2000114,Important/ImportantItemStandard,1,Bonecarving Training
2000115,Important/ImportantItemStandard,1,Bowyering Training
2000116,Important/ImportantItemStandard,1,Fletchery Training
2000117,Important/ImportantItemStandard,1,Breadbaking Training
2000118,Important/ImportantItemStandard,1,Milling Training
2000119,Important/ImportantItemStandard,1,Confectionery Training
2000120,Important/ImportantItemStandard,1,Painting Training
2000121,Important/ImportantItemStandard,1,Inlaying Training
2000122,Important/ImportantItemStandard,1,Fishcleaning Training
2000123,Important/ImportantItemStandard,1,Chainweaving Training
2000124,Important/ImportantItemStandard,1,Woodlaying Training
2000125,Important/ImportantItemStandard,1,Poisoning Training
2000126,Important/ImportantItemStandard,1,Physicking Training
2000127,Important/ImportantItemStandard,1,Chemicking Training
2000128,Important/ImportantItemStandard,1,Tacklecraft Training
2000201,Important/ImportantItemStandard,1,Soul of the Paladin
2000202,Important/ImportantItemStandard,1,Soul of the Monk
2000203,Important/ImportantItemStandard,1,Soul of the Warrior
2000204,Important/ImportantItemStandard,1,Soul of the Dragoon
2000205,Important/ImportantItemStandard,1,Soul of the Bard
2000206,Important/ImportantItemStandard,1,Soul of the White Mage
2000207,Important/ImportantItemStandard,1,Soul of the Black Mage
2001000,Important/ImportantItemStandard,1,[en]
2001001,Important/ImportantItemStandard,1,Materia Assimilator
2001002,Important/ImportantItemStandard,1,Materia Melder
2001003,Important/ImportantItemStandard,1,Augmented Materia Melder
2001004,Important/ImportantItemStandard,1,Storm Chocobo Issuance
2001005,Important/ImportantItemStandard,1,Serpent Chocobo Issuance
2001006,Important/ImportantItemStandard,1,Flame Chocobo Issuance
2001007,Important/ImportantItemStandard,1,Chocobo Whistle
2001008,Important/ImportantItemStandard,1,Airship Ticket
2001009,Important/ImportantItemStandard,1,Lapis Cross
2001010,Important/ImportantItemStandard,1,Emerald Leaf
2001011,Important/ImportantItemStandard,1,Gold Scales
2001012,Important/ImportantItemStandard,1,[en]
2001013,Important/ImportantItemStandard,1,Goobbue Horn
2001014,Important/ImportantItemStandard,1,Lominsan Aetherpass
2001015,Important/ImportantItemStandard,1,Gridanian Aetherpass
2001016,Important/ImportantItemStandard,1,Ul'dahn Aetherpass
2001017,Important/ImportantItemStandard,1,Lominsan Half Barding
2001018,Important/ImportantItemStandard,1,Lominsan Barding
2001019,Important/ImportantItemStandard,1,Lominsan Crested Barding
2001020,Important/ImportantItemStandard,1,Gridanian Half Barding
2001021,Important/ImportantItemStandard,1,Gridanian Barding
2001022,Important/ImportantItemStandard,1,Gridanian Crested Barding
2001023,Important/ImportantItemStandard,1,Ul'dahn Half Barding
2001024,Important/ImportantItemStandard,1,Ul'dahn Barding
2001025,Important/ImportantItemStandard,1,Ul'dahn Crested Barding
2001026,Important/ImportantItemStandard,1,On the Properties of Beastmen
2001027,Important/ImportantItemStandard,1,Soiled Promissory Note
2001028,Important/ImportantItemStandard,1,Aquamarine Cross
2001029,Important/ImportantItemStandard,1,Emerald Bough
2001030,Important/ImportantItemStandard,1,Platinum Scales
3010001,Normal/FoodItem,99,Meat Miq'abob
3010002,Normal/FoodItem,99,Aldgoat Steak
3010003,Normal/FoodItem,99,Boiled Egg
3010004,Normal/FoodItem,99,Dodo Omelette
3010005,Normal/FoodItem,99,Cottage Cheese
3010006,Normal/FoodItem,99,Marmot Steak
3010007,Normal/FoodItem,99,Rabbit Pie
3010008,Normal/FoodItem,99,Jerked Beef
3010009,Normal/FoodItem,99,Grilled Dodo
3010010,Normal/FoodItem,99,Shepherd's Pie
3010011,Normal/FoodItem,99,Smoked Raptor
3010012,Normal/FoodItem,99,Deviled Eggs
3010013,Normal/FoodItem,99,Roast Dodo
3010014,Normal/FoodItem,99,Mole Loaf
3010015,Normal/FoodItem,99,Blue Cheese
3010016,Normal/FoodItem,99,Mustard Eggs
3010017,Normal/FoodItem,99,Eft Steak
3010018,Normal/FoodItem,99,Cream Cheese
3010019,Normal/FoodItem,99,Rolanberry Cheese
3010020,Normal/FoodItem,99,Apkallu Omelette
3010021,Normal/FoodItem,99,Scrambled Eggs
3010022,Normal/FoodItem,99,Fried Egg
3010023,Normal/FoodItem,99,Trapper's Quiche
3010024,Normal/FoodItem,99,[en]
3010101,Normal/FoodItem,99,Grilled Carp
3010102,Normal/FoodItem,99,Salt Cod
3010103,Normal/FoodItem,99,Boiled Crayfish
3010104,Normal/FoodItem,99,Raw Oyster
3010105,Normal/FoodItem,99,Grilled Trout
3010106,Normal/FoodItem,99,Salmon Meuniere
3010107,Normal/FoodItem,99,Tuna Miq'abob
3010108,Normal/FoodItem,99,Eel Pie
3010109,Normal/FoodItem,99,Salt Cod Puffs
3010110,Normal/FoodItem,99,Stuffed Cabbage
3010111,Normal/FoodItem,99,Lava Toad Legs
3010112,Normal/FoodItem,99,Tree Toad Legs
3010113,Normal/FoodItem,99,Baked Sole
3010114,Normal/FoodItem,99,Braised Pipira
3010115,Normal/FoodItem,99,Boiled Bream
3010118,Normal/FoodItem,99,Mugwort Carp
3010201,Normal/FoodItem,99,Flatbread
3010202,Normal/FoodItem,99,Frumenty
3010203,Normal/FoodItem,99,Honey Muffin
3010204,Normal/FoodItem,99,La Noscean Toast
3010205,Normal/FoodItem,99,Acorn Cookie
3010206,Normal/FoodItem,99,Dark Pretzel
3010207,Normal/FoodItem,99,Cornbread
3010208,Normal/FoodItem,99,Knight's Bread
3010209,Normal/FoodItem,99,Walnut Bread
3010210,Normal/FoodItem,99,Lentils & Chestnuts
3010211,Normal/FoodItem,99,Finger Sandwich
3010301,Normal/FoodItem,99,Spinach Saute
3010302,Normal/FoodItem,99,Jack-o'-lantern
3010303,Normal/FoodItem,99,Landtrap Salad
3010304,Normal/FoodItem,99,Blood Currant Tart
3010305,Normal/FoodItem,99,Parsnip Salad
3010306,Normal/FoodItem,99,Sauerkraut
3010307,Normal/FoodItem,99,Dzemael Gratin
3010308,Normal/FoodItem,99,Tomato Pie
3010309,Normal/FoodItem,99,Roasted Nopales
3010310,Normal/FoodItem,99,Alligator Salad
3010311,Normal/FoodItem,99,Stuffed Artichoke
3010312,Normal/FoodItem,99,Forest Miq'abob
3010313,Normal/FoodItem,99,Button Mushroom Saute
3010314,Normal/FoodItem,99,Raptor Stew
3010315,Normal/FoodItem,99,Chicken and Mushrooms
3010316,Normal/FoodItem,99,Chanterelle Saute
3010317,Normal/FoodItem,99,Buttons in a Blanket
3010401,Normal/FoodItem,99,Apple Tart
3010402,Normal/FoodItem,99,Ginger Cookie
3010403,Normal/FoodItem,99,Dried Prunes
3010404,Normal/FoodItem,99,Raisins
3010405,Normal/FoodItem,99,Crumpet
3010406,Normal/FoodItem,99,Pastry Fish
3010407,Normal/FoodItem,99,Crowned Cake
3010408,Normal/FoodItem,99,Princess Pudding
3010409,Normal/FoodItem,99,Starlight Log
3010410,Normal/FoodItem,99,Snowflake Peak
3010411,Normal/FoodItem,99,Ore Fruitcake
3010412,Normal/FoodItem,99,Bubble Chocolate
3010413,Normal/FoodItem,99,Pearl Chocolate
3010414,Normal/FoodItem,99,Heart Chocolate
3010415,Normal/FoodItem,99,White Chocolate
3010416,Normal/FoodItem,99,Sweet Rice Cake
3010417,Normal/FoodItem,99,Pumpkin Cookie
3010418,Normal/FoodItem,99,Consecrated Chocolate
3010419,Normal/FoodItem,99,Mizzenmast Biscuit
3010420,Normal/FoodItem,99,Roost Biscuit
3010421,Normal/FoodItem,99,Hourglass Biscuit
3010501,Normal/FoodItem,99,Pea Soup
3010502,Normal/FoodItem,99,Stone Soup
3010503,Normal/FoodItem,99,Beef Stew
3010504,Normal/FoodItem,99,Cawl Cennin
3010505,Normal/FoodItem,99,Ratatouille
3010506,Normal/FoodItem,99,Mutton Stew
3010507,Normal/FoodItem,99,Fish Soup
3010508,Normal/FoodItem,99,Bouillabaisse
3010509,Normal/FoodItem,99,Zoni
3010510,Normal/FoodItem,99,Orobon Stew
3010601,Normal/FoodItem,99,Distilled Water
3010602,Normal/FoodItem,99,Sour Red
3010603,Normal/FoodItem,99,Aldgoat Milk
3010604,Normal/FoodItem,99,Buffalo Milk
3010605,Normal/FoodItem,99,Orange Juice
3010606,Normal/FoodItem,99,Pineapple Juice
3010607,Normal/FoodItem,99,Apple Juice
3010608,Normal/FoodItem,99,Mulled Tea
3010609,Normal/FoodItem,99,Mineral Water
3010610,Normal/FoodItem,99,Chamomile Tea
3010611,Normal/FoodItem,99,Grape Juice
3010612,Normal/FoodItem,99,Rolanberry Lassi
3011001,Normal/FoodItem,99,Aldgoat Chuck
3011002,Normal/FoodItem,99,Buffalo Sirloin
3011003,Normal/FoodItem,99,Dodo Tenderloin
3011004,Normal/FoodItem,99,Raptor Shank
3011005,Normal/FoodItem,99,Mutton Loin
3011006,Normal/FoodItem,99,Antelope Shank
3011007,Normal/FoodItem,99,Marmot Meat
3011008,Normal/FoodItem,99,Chicken Breast
3011009,Normal/FoodItem,99,Megalocrab Leg
3011010,Normal/FoodItem,99,Orobon Liver
3011011,Normal/FoodItem,99,Jellyfish Umbrella
3011012,Normal/FoodItem,99,Eft Tail
3011013,Normal/FoodItem,99,Salamander Tail
3011014,Normal/FoodItem,99,Mole Meat
3011015,Normal/FoodItem,99,Chicken Egg
3011016,Normal/FoodItem,99,Apkallu Egg
3011017,Normal/FoodItem,99,Dodo Egg
3011018,Normal/FoodItem,99,Young Dodo Roaster
3011019,Normal/FoodItem,99,Pudding Flesh
3011020,Normal/FoodItem,99,Puk Egg
3011101,Normal/FoodItem,99,Black Eel
3011102,Normal/FoodItem,99,Dark Bass
3011103,Normal/FoodItem,99,Crayfish
3011104,Normal/FoodItem,99,Crimson Crayfish
3011105,Normal/FoodItem,99,Bone Crayfish
3011106,Normal/FoodItem,99,Maiden Carp
3011107,Normal/FoodItem,99,Velodyna Carp
3011108,Normal/FoodItem,99,Pipira
3011109,Normal/FoodItem,99,Black Ghost
3011110,Normal/FoodItem,99,Brass Loach
3011111,Normal/FoodItem,99,Ala Mhigan Fighting Fish
3011112,Normal/FoodItem,99,Rainbow Trout
3011113,Normal/FoodItem,99,Yugr'am Salmon
3011114,Normal/FoodItem,99,Blindfish
3011115,Normal/FoodItem,99,Striped Goby
3011116,Normal/FoodItem,99,Sandfish
3011117,Normal/FoodItem,99,Lamp Marimo
3011118,Normal/FoodItem,99,Monke Onke
3011119,Normal/FoodItem,99,Alligator Garfish
3011120,Normal/FoodItem,99,Northern Pike
3011121,Normal/FoodItem,99,Southern Pike
3011122,Normal/FoodItem,99,Giant Donko
3011123,Normal/FoodItem,99,Lava Toad
3011124,Normal/FoodItem,99,Pirarucu
3011125,Normal/FoodItem,99,Emperor Fish
3011126,Normal/FoodItem,99,Takitaro
3011127,Normal/FoodItem,99,Cave Cherax
3011128,Normal/FoodItem,99,River Crab
3011129,Normal/FoodItem,99,Helmet Crab
3011130,Normal/FoodItem,99,King Crab
3011131,Normal/FoodItem,99,Tricorn
3011132,Normal/FoodItem,99,Tree Toad
3011133,Normal/FoodItem,99,Dart Frog
3011134,Normal/FoodItem,99,Nether Newt
3011135,Normal/FoodItem,99,Allagan Snail
3011136,Normal/FoodItem,99,Box Turtle
3011137,Normal/FoodItem,99,Giant Catfish
3011201,Normal/FoodItem,99,Saber Sardine
3011202,Normal/FoodItem,99,Ocean Cloud
3011203,Normal/FoodItem,99,Nautilus
3011204,Normal/FoodItem,99,Silver Shark
3011205,Normal/FoodItem,99,Tiger Cod
3011206,Normal/FoodItem,99,Rock Lobster
3011207,Normal/FoodItem,99,Black Sole
3011208,Normal/FoodItem,99,Coral Butterfly
3011209,Normal/FoodItem,99,Bianaq Bream
3011210,Normal/FoodItem,99,Merlthor Goby
3011211,Normal/FoodItem,99,Indigo Herring
3011212,Normal/FoodItem,99,Blowfish
3011213,Normal/FoodItem,99,Rothlyt Oyster
3011214,Normal/FoodItem,99,Finger Shrimp
3011215,Normal/FoodItem,99,Cieldalaes Clam
3011216,Normal/FoodItem,99,Malm Kelp
3011217,Normal/FoodItem,99,Ash Tuna
3011218,Normal/FoodItem,99,Dinichthys
3011219,Normal/FoodItem,99,Titanic Sawfish
3011220,Normal/FoodItem,99,Sunfish
3011221,Normal/FoodItem,99,Mazlaya Marlin
3011222,Normal/FoodItem,99,Gigant Octopus
3011223,Normal/FoodItem,99,Megalodon
3011224,Normal/FoodItem,99,Wahoo
3011225,Normal/FoodItem,99,Hammerhead Shark
3011226,Normal/FoodItem,99,Giant Squid
3011227,Normal/FoodItem,99,Haraldr Haddock
3011228,Normal/FoodItem,99,Sea Cucumber
3011229,Normal/FoodItem,99,Sea Pickle
3011230,Normal/FoodItem,99,Razor Clam
3011231,Normal/FoodItem,99,Vongola Clam
3011301,Normal/FoodItem,99,Cieldalaes Spinach
3011302,Normal/FoodItem,99,Ogre Pumpkin
3011303,Normal/FoodItem,99,Alpine Parsnip
3011304,Normal/FoodItem,99,Salt Leek
3011305,Normal/FoodItem,99,Midland Cabbage
3011306,Normal/FoodItem,99,Wizard Eggplant
3011307,Normal/FoodItem,99,Popoto
3011308,Normal/FoodItem,99,Wild Onion
3011309,Normal/FoodItem,99,Coerthas Carrot
3011310,Normal/FoodItem,99,Ruby Tomato
3011311,Normal/FoodItem,99,La Noscean Lettuce
3011312,Normal/FoodItem,99,Highland Parsley
3011313,Normal/FoodItem,99,Ramhorn Zucchini
3011314,Normal/FoodItem,99,Paprika
3011315,Normal/FoodItem,99,Pimiento
3011316,Normal/FoodItem,99,Maiden Artichoke
3011317,Normal/FoodItem,99,Gysahl Greens
3011318,Normal/FoodItem,99,Aloe
3011319,Normal/FoodItem,99,Nopales
3011401,Normal/FoodItem,99,Iron Acorn
3011402,Normal/FoodItem,99,Gridanian Chestnut
3011403,Normal/FoodItem,99,Gridanian Walnut
3011404,Normal/FoodItem,99,Cinderfoot Olive
3011405,Normal/FoodItem,99,Sunflower Seeds
3011406,Normal/FoodItem,99,Button Mushroom
3011407,Normal/FoodItem,99,Shriekshroom
3011408,Normal/FoodItem,99,Black Truffle
3011409,Normal/FoodItem,99,White Truffle
3011410,Normal/FoodItem,99,Gil Bun
3011411,Normal/FoodItem,99,Chanterelle
3011412,Normal/FoodItem,99,Buffalo Beans
3011413,Normal/FoodItem,99,Jade Peas
3011414,Normal/FoodItem,99,Lalafellin Lentil
3011415,Normal/FoodItem,99,Millioncorn
3011416,Normal/FoodItem,99,Kukuru Bean
3011417,Normal/FoodItem,99,Sticky Rice
3011418,Normal/FoodItem,99,Ratstool
3011419,Normal/FoodItem,99,Dalamud Nut
3011420,Normal/FoodItem,99,Moon Nut
3011451,Normal/FoodItem,99,La Noscean Orange
3011452,Normal/FoodItem,99,Lowland Grapes
3011453,Normal/FoodItem,99,Pixie Plums
3011454,Normal/FoodItem,99,Prickly Pineapple
3011455,Normal/FoodItem,99,Faerie Apple
3011456,Normal/FoodItem,99,Sun Lemon
3011457,Normal/FoodItem,99,Blood Currants
3011458,Normal/FoodItem,99,Rolanberry
3011459,Normal/FoodItem,99,Alligator Pear
3011501,Normal/FoodItem,99,Pie Dough
3011502,Normal/FoodItem,99,Salted Butter
3011503,Normal/FoodItem,99,Maple Sugar
3011504,Normal/FoodItem,99,Sweet Cream
3011505,Normal/FoodItem,99,Chicken Stock
3011506,Normal/FoodItem,99,Garlean Garlic
3011507,Normal/FoodItem,99,Black Pepper
3011508,Normal/FoodItem,99,Pearl Ginger
3011509,Normal/FoodItem,99,Cinnamon
3011510,Normal/FoodItem,99,Sagolii Sage
3011511,Normal/FoodItem,99,Marjoram
3011512,Normal/FoodItem,99,Dragon Pepper
3011513,Normal/FoodItem,99,Laurel
3011514,Normal/FoodItem,99,Thyme
3011515,Normal/FoodItem,99,Nutmeg
3011516,Normal/FoodItem,99,Desert Saffron
3011517,Normal/FoodItem,99,Midland Basil
3011518,Normal/FoodItem,99,Cloves
3011519,Normal/FoodItem,99,Vanilla Beans
3011520,Normal/FoodItem,99,Galago Mint
3011521,Normal/FoodItem,99,Thanalan Tea Leaves
3011522,Normal/FoodItem,99,Gelatin
3011523,Normal/FoodItem,99,Sunset Wheat
3011524,Normal/FoodItem,99,Sunset Wheat Flour
3011525,Normal/FoodItem,99,Rye
3011526,Normal/FoodItem,99,Rye Flour
3011527,Normal/FoodItem,99,Cornmeal
3011528,Normal/FoodItem,99,Almonds
3011529,Normal/FoodItem,99,Table Salt
3011530,Normal/FoodItem,99,Honey
3011531,Normal/FoodItem,99,Maple Syrup
3011532,Normal/FoodItem,99,Olive Oil
3011533,Normal/FoodItem,99,Cider Vinegar
3011534,Normal/FoodItem,99,Ala Mhigan Mustard
3011535,Normal/FoodItem,99,Tomato Sauce
3011536,Normal/FoodItem,99,Lavender Oil
3011537,Normal/FoodItem,99,Clove Oil
3011538,Normal/FoodItem,99,Dried Marjoram
3011539,Normal/FoodItem,99,Dark Vinegar
3011540,Normal/FoodItem,99,Powdered Sugar
3011541,Normal/FoodItem,99,Kukuru Powder
3011542,Normal/FoodItem,99,Kukuru Butter
3011543,Normal/FoodItem,99,Fish Stock
3011544,Normal/FoodItem,99,Dodo Stuffing
3011545,Normal/FoodItem,99,Mugwort
3020001,Normal/PotionItem,99,Potion
3020002,Normal/PotionItem,99,Hi-potion
3020003,Normal/PotionItem,99,Mega-potion
3020004,Normal/PotionItem,99,[en]
3020005,Normal/PotionItem,99,[en]
3020006,Normal/PotionItem,99,Fire Potion
3020007,Normal/PotionItem,99,Water Potion
3020008,Normal/PotionItem,99,Wind Potion
3020009,Normal/PotionItem,99,Earth Potion
3020010,Normal/PotionItem,99,Lightning Potion
3020011,Normal/PotionItem,99,Ice Potion
3020101,Normal/PotionItem,99,Ether
3020102,Normal/PotionItem,99,Hi-ether
3020103,Normal/PotionItem,99,Mega-ether
3020104,Normal/PotionItem,99,Hyper Ether
3020105,Normal/PotionItem,99,Fire Ether
3020106,Normal/PotionItem,99,Water Ether
3020107,Normal/PotionItem,99,Wind Ether
3020108,Normal/PotionItem,99,Earth Ether
3020109,Normal/PotionItem,99,Lightning Ether
3020110,Normal/PotionItem,99,Ice Ether
3020201,Normal/PotionItem,99,Elixir
3020202,Normal/PotionItem,1,Dusken Draught
3020203,Normal/PotionItem,1,Kiss of the Morning Meadow
3020204,Normal/PotionItem,1,Onyx Tears
3020301,Normal/CmnBadStatusItem,99,Blinding Potion
3020302,Normal/CmnBadStatusItem,99,Silencing Potion
3020303,Normal/CmnBadStatusItem,99,Sleeping Potion
3020304,Normal/CmnBadStatusItem,99,Paralyzing Potion
3020305,Normal/EnchantMedicineItem,99,Maddening Potion
3020306,Normal/CmnBadStatusItem,99,Poisoning Potion
3020307,Normal/CmnBadStatusItem,99,Smothering Potion
3020308,Normal/CmnBadStatusItem,99,Disabling Potion
3020309,Normal/CmnBadStatusItem,99,Venom Potion
3020401,Normal/CmnRemoveStatusItem,99,Eye Drops
3020402,Normal/CmnRemoveStatusItem,99,Throat Drops
3020403,Normal/CmnRemoveStatusItem,99,Dawn Drops
3020404,Normal/CmnRemoveStatusItem,99,Spine Drops
3020405,Normal/EnchantMedicineItem,99,Nerve Drops
3020406,Normal/CmnRemoveStatusItem,99,Blood Drops
3020407,Normal/CmnRemoveStatusItem,99,Lung Drops
3020408,Normal/CmnRemoveStatusItem,99,Heart Drops
3020409,Normal/CmnRemoveStatusItem,99,Gold Needle
3020410,Normal/CmnGoodStatusItem,99,The Keeper's Hymn
3020411,Normal/RaiseItem,1,Company-issue Expectorant
3020412,Normal/RaiseItem,1,Company-issue Tonic
3020413,Normal/RaiseItem,1,Over-aspected Cluster
3020501,Normal/CmnGoodStatusItem,99,Ironhide Unguent
3020502,Normal/CmnGoodStatusItem,99,Ironwill Unguent
3020503,Normal/CmnGoodStatusItem,99,[en]
3020504,Normal/CmnGoodStatusItem,1,Company-issue Engineering Manual II
3020505,Normal/CmnGoodStatusItem,1,Company-issue Survival Manual II
3020506,Normal/CmnGoodStatusItem,1,Sanction
3020507,Normal/CmnGoodStatusItem,99,Peach Confetti
3020508,Normal/CmnGoodStatusItem,99,Cherry Confetti
3020509,Normal/CmnGoodStatusItem,1,Company-issue Engineering Manual
3020510,Normal/CmnGoodStatusItem,1,Company-issue Survival Manual
3020511,Normal/EnchantMedicineItem,99,Muscle Restorative
3020512,Normal/EnchantMedicineItem,99,Potion of Strength
3020513,Normal/EnchantMedicineItem,99,Hi-potion of Strength
3020514,Normal/EnchantMedicineItem,99,Mega-potion of Strength
3020515,Normal/EnchantMedicineItem,99,Potion of Vitality
3020516,Normal/EnchantMedicineItem,99,Hi-potion of Vitality
3020517,Normal/EnchantMedicineItem,99,Mega-potion of Vitality
3020518,Normal/EnchantMedicineItem,99,Potion of Dexterity
3020519,Normal/EnchantMedicineItem,99,Hi-potion of Dexterity
3020520,Normal/EnchantMedicineItem,99,Mega-potion of Dexterity
3020521,Normal/EnchantMedicineItem,99,Potion of Intelligence
3020522,Normal/EnchantMedicineItem,99,Hi-potion of Intelligence
3020523,Normal/EnchantMedicineItem,99,Mega-potion of Intelligence
3020524,Normal/EnchantMedicineItem,99,Potion of Mind
3020525,Normal/EnchantMedicineItem,99,Hi-potion of Mind
3020526,Normal/EnchantMedicineItem,99,Mega-potion of Mind
3020527,Normal/EnchantMedicineItem,99,Potion of Piety
3020528,Normal/EnchantMedicineItem,99,Hi-potion of Piety
3020529,Normal/EnchantMedicineItem,99,Mega-potion of Piety
3020530,Normal/EnchantMedicineItem,99,Bloodwall Potion
3020531,Normal/EnchantMedicineItem,99,Bloodwall Hi-potion
3020532,Normal/EnchantMedicineItem,99,Bloodwall Mega-potion
3020533,Normal/EnchantMedicineItem,99,Manawall Potion
3020534,Normal/EnchantMedicineItem,99,Manawall Hi-potion
3020535,Normal/EnchantMedicineItem,99,Manawall Mega-potion
3020536,Normal/EnchantMedicineItem,99,Giant's Drink
3020537,Normal/EnchantMedicineItem,99,Over-aspected Crystal
3020538,Normal/CmnGoodStatusItem,99,Lunar Curtain
3020601,Normal/CmnGoodStatusItem,99,Storm Tracer
3020602,Normal/CmnGoodStatusItem,99,Flame Tracer
3020603,Normal/CmnGoodStatusItem,99,Serpent Tracer
3020604,Normal/CmnGoodStatusItem,99,Lominsan Sparkler
3020605,Normal/CmnGoodStatusItem,99,Gridanian Sparkler
3020606,Normal/CmnGoodStatusItem,99,Ul'dahn Sparkler
3020607,Normal/CmnGoodStatusItem,99,Magicked Prism (Harbor Herald)
3020608,Normal/CmnGoodStatusItem,99,Magicked Prism (Mythril Eye)
3020609,Normal/CmnGoodStatusItem,99,Magicked Prism (The Raven)
3020610,Normal/CmnGoodStatusItem,99,Magicked Prism (Crimson Star)
3020611,Normal/CmnGoodStatusItem,99,Magicked Prism (Emerald Star)
3020612,Normal/CmnGoodStatusItem,99,Magicked Prism (Indigo Star)
3020613,Normal/CmnGoodStatusItem,99,Bombard Bloom
3020614,Normal/CmnGoodStatusItem,99,Magicked Prism (Maelstrom)
3020615,Normal/CmnGoodStatusItem,99,Magicked Prism (Twin Adder)
3020616,Normal/CmnGoodStatusItem,99,Magicked Prism (Immortal Flames)
3910001,Normal/StandardItem,99,Smoothed Stone
3910005,Normal/StandardItem,99,Levinstone
3910006,Normal/StandardItem,99,Firepot
3910007,Normal/StandardItem,99,Bomb Arm
3910008,Normal/StandardItem,99,Grenade Arm
3910009,Normal/StandardItem,99,Exorcism Bean
3910101,Normal/StandardItem,99,Bronze Chakram
3910102,Normal/StandardItem,99,Steel Chakram
3910103,Normal/StandardItem,99,Iron Chakram
3910104,Normal/StandardItem,99,Silver Chakram
3910201,Normal/StandardItem,99,Bronze Francisca
3910202,Normal/StandardItem,99,Brass Francisca
3910203,Normal/StandardItem,99,Iron Francisca
3910204,Normal/StandardItem,99,Silver Francisca
3910301,Normal/StandardItem,99,Bronze Javelin
3910302,Normal/StandardItem,99,Brass Javelin
3910303,Normal/StandardItem,99,Iron Javelin
3910304,Normal/StandardItem,99,Silver Javelin
3910305,Normal/StandardItem,99,Bronze Azagai
3910306,Normal/StandardItem,99,Iron Azagai
3910401,Normal/StandardItem,99,Bronze Throwing Dagger
3910402,Normal/StandardItem,99,Iron Throwing Dagger
3910403,Normal/StandardItem,99,Silver Throwing Dagger
3920001,Normal/StandardItem,999,Dated Bronze Arrow
3920002,Normal/StandardItem,999,Dated Iron Arrow
3920003,Normal/StandardItem,999,Steel Arrow
3920004,Normal/StandardItem,999,Bronze Arrow
